Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,SubTotal,,Aktien,USD,AMD,,0,,,-97.1,-4,0,-101.1,13.6,
"Transaktionen,Data,Order,Aktien,USD,ANET,""2024-02-15, 15:45:59"",8,265.72,266.5,-2125.76,-2,2127.76,0,6.24,O"
"Transaktionen,Data,Order,Aktien,USD,ANET,""2024-03-08, 11:27:15"",-8,277.62,273.11,2220.96,-2,-2127.76,91.2,36.08,C"
Transaktionen,SubTotal,,Aktien,USD,ANET,,0,,,95.2,-4,0,91.2,42.32,
"Transaktionen,Data,Order,Aktien,USD,ANF,""2023-12-08, 11:06:21"",10,78.16,78.65,-781.6,-2,783.6,0,4.9,O"
"Transaktionen,Data,Order,Aktien,USD,ANF,""2023-12-18, 11:12:10"",5,86.07,86.67,-430.35,-2,432.35,0,3,O"
"Transaktionen,Data,Order,Aktien,USD,ANF,""2024-01-03, 10:02:49"",-6,89.78,88.76,538.68,-2,-470.16,66.52,6.12,C;P"
"Transaktionen,Data,Order,Aktien,USD,ANF,""2024-03-07, 13:05:43"",-9,126.85,127.78,1141.65,-2,-745.79,393.86,-8.37,C"
Transaktionen,SubTotal,,Aktien,USD,ANF,,0,,,468.38,-8,0,460.38,5.65,
"Transaktionen,Data,Order,Aktien,USD,AVPT,""2023-11-30, 12:16:45"",100,8.175,8.19,-817.5,-2,819.5,0,1.5,O"
"Transaktionen,Data,Order,Aktien,USD,AVPT,""2024-01-03, 10:02:50"",20,7.885,7.78,-157.7,-2,159.7,0,-2.1,O"
"Transaktionen,Data,Order,Aktien,USD,AVPT,""2024-01-17, 09:59:39"",-120,7.812,7.93,937.44,-2,-979.2,-43.76,-14.16,C"
Transaktionen,SubTotal,,Aktien,USD,AVPT,,0,,,-37.76,-6,0,-43.76,-14.76,
"Transaktionen,Data,Order,Aktien,USD,BRBR,""2023-11-30, 12:17:36"",21,52.19,52.9,-1095.99,-2,1097.99,0,14.91,O"
"Transaktionen,Data,Order,Aktien,USD,BRBR,""2024-01-03, 10:02:49"",3,51.13,51.37,-153.39,-2,155.39,0,0.72,O"
"Transaktionen,Data,Order,Aktien,USD,BRBR,""2024-02-15, 10:38:19"",-24,57.918,58.01,1390.032,-2,-1253.38,134.652,-2.208,C"
Transaktionen,SubTotal,,Aktien,USD,BRBR,,0,,,140.652,-6,0,134.652,13.422,
"Transaktionen,Data,Order,Aktien,USD,CBOE,""2023-11-30, 12:16:45"",11,180.65,182.19,-1987.15,-2,1989.15,0,16.94,O"
"Transaktionen,Data,Order,Aktien,USD,CBOE,""2023-12-14, 09:41:14"",-11,171.44,172.28,1885.84,-2,-1989.15,-105.31,-9.24,C"
"Transaktionen,Data,Order,Aktien,USD,CBOE,""2023-12-18, 11:17:20"",15,176.08,174.99,-2641.2,-2,2643.2,0,-16.35,O"
"Transaktionen,Data,Order,Aktien,USD,CBOE,""2023-12-21, 10:36:08"",-1,176.245,176.11,176.245,-2,-176.213333,-1.968333,0.135,C"
"Transaktionen,Data,Order,Aktien,USD,CBOE,""2024-01-03, 10:02:49"",-4,177.205,174.88,708.82,-2,-704.853333,1.966667,9.3,C"
"Transaktionen,Data,Order,Aktien,USD,CBOE,""2024-01-29, 09:38:14"",-10,185.22,183.5,1852.2,-2,-1762.133334,88.066666,17.2,C"
Transaktionen,SubTotal,,Aktien,USD,CBOE,,0,,,-5.245,-12,0,-17.245,17.985,
"Transaktionen,Data,Order,Aktien,USD,CDRE,""2023-11-30, 12:18:34"",31,32.48,32.2,-1006.88,-2,1008.88,0,-8.68,O;P"
"Transaktionen,Data,Order,Aktien,USD,CDRE,""2023-12-12, 11:40:07"",30,31.979,32.37,-959.37,-2,961.37,0,11.73,O;P"
"Transaktionen,Data,Order,Aktien,USD,CDRE,""2023-12-12, 12:01:36"",-31,32.03,32.37,992.93,-2,-1008.88,-17.949999,-10.54,C"
"Transaktionen,Data,Order,Aktien,USD,CDRE,""2024-01-03, 10:03:57"",6,32.27,31.53,-193.62,-2,195.62,0,-4.44,O;P"
"Transaktionen,Data,Order,Aktien,USD,CDRE,""2024-03-14, 10:10:44"",-36,36.39,35.6,1310.04,-2,-1156.99,151.049998,28.44,C"
Transaktionen,SubTotal,,Aktien,USD,CDRE,,0,,,143.1,-10,0,133.099999,16.51,
"Transaktionen,Data,Order,Aktien,USD,CHKP,""2024-02-15, 15:41:16"",30,163.825,164.24,-4914.75,-2,4916.75,0,12.45,O"
"Transaktionen,Data,Order,Aktien,USD,CHKP,""2024-02-20, 09:42:38"",-20,161.48,160.1,3229.6,-2,-3277.833333,-50.233333,27.6,C"
"Transaktionen,Data,Order,Aktien,USD,CHKP,""2024-02-21, 09:30:01"",-20,151.21,154.87,3024.2,-2,-3151.016667,-128.816667,-73.2,C;O;P"
"Transaktionen,Data,Order,Aktien,USD,CHKP,""2024-02-21, 09:34:38"",20,150.065,154.87,-3001.3,-2,1512.1,10.45,96.1,C;O"
"Transaktionen,Data,Order,Aktien,USD,CHKP,""2024-02-21, 09:50:51"",-20,150.1975,154.87,3003.95,-2,-3002.75,-0.8,-93.45,C;O;P"
"Transaktionen,Data,Order,Aktien,USD,CHKP,""2024-02-21, 11:46:30"",20,153.87,154.87,-3077.4,-2,1501.1,-38.6,20,C;O"
"Transaktionen,Data,Order,Aktien,USD,CHKP,""2024-03-05, 10:18:36"",-10,156.18,157.84,1561.8,-2,-1539.7,20.1,-16.6,C"
Transaktionen,SubTotal,,Aktien,USD,CHKP,,0,,,-173.9,-14,-3041.35,-187.9,-27.1,
"Transaktionen,Data,Order,Aktien,USD,CNM,""2024-02-29, 15:15:12"",50,47.4,47.73,-2370,-2,2372,0,16.5,O"
"Transaktionen,Data,Order,Aktien,USD,CNM,""2024-03-27, 10:48:23"",-50,56.85,56.77,2842.5,-2,-2372,468.5,4,C"
Transaktionen,SubTotal,,Aktien,USD,CNM,,0,,,472.5,-4,0,468.5,20.5,
"Transaktionen,Data,Order,Aktien,USD,CRH,""2024-02-29, 11:23:20"",20,82.895,84.31,-1657.9,-2,1659.9,0,28.3,O"
"Transaktionen,Data,Order,Aktien,USD,CRH,""2024-03-11, 09:58:13"",-20,80.49,82.29,1609.8,-2,-1659.9,-52.1,-36,C"
"Transaktionen,Data,Order,Aktien,USD,CRH,""2024-03-20, 11:31:26"",30,84.9,86.07,-2547,-2,2549,0,35.1,O"
"Transaktionen,Data,Order,Aktien,USD,CRH,""2024-04-01, 15:51:36"",-30,84.972,84.86,2549.16,-2,-2549,-1.84,3.36,C"
Transaktionen,SubTotal,,Aktien,USD,CRH,,0,,,-45.94,-8,0,-53.94,30.76,
"Transaktionen,Data,Order,Aktien,USD,CRWD,""2023-12-08, 11:06:22"",5,240.265,242.55,-1201.325,-2,1203.325,0,11.425,O"
"Transaktionen,Data,Order,Aktien,USD,CRWD,""2024-02-13, 09:30:04"",-5,302.41,322.44,1512.05,-2,-1203.325,306.725,-100.15,C"
"Transaktionen,Data,Order,Aktien,USD,CRWD,""2024-03-07, 10:21:15"",-3,323.18,329.68,969.54,-2,-967.54,0,-19.5,O"
"Transaktionen,Data,Order,Aktien,USD,CRWD,""2024-03-08, 09:49:00"",3,332.35,322.85,-997.05,-2,967.54,-31.51,-28.5,C"
Transaktionen,SubTotal,,Aktien,USD,CRWD,,0,,,283.215,-8,0,275.215,-136.725,
"Transaktionen,Data,Order,Aktien,USD,CXW,""2023-11-30, 12:16:45"",64,14.655,14.47,-937.92,-2,939.92,0,-11.84,O"
"Transaktionen,Data,Order,Aktien,USD,CXW,""2023-12-12, 09:30:30"",-64,13.515,13.89,864.96,-2,-939.92,-76.96,-24,C"
Transaktionen,SubTotal,,Aktien,USD,CXW,,0,,,-72.96,-4,0,-76.96,-35.84,
"Transaktionen,Data,Order,Aktien,USD,CYBR,""2024-02-06, 11:59:24"",13,236.4,239.86,-3073.2,-2,3075.2,0,44.98,O"
"Transaktionen,Data,Order,Aktien,USD,CYBR,""2024-02-20, 09:30:05"",-13,255.63,250,3323.19,-2,-3075.2,245.99,73.19,C"
Transaktionen,SubTotal,,Aktien,USD,CYBR,,0,,,249.99,-4,0,245.99,118.17,
"Transaktionen,Data,Order,Aktien,USD,EDU,""2023-11-30, 12:16:51"",10,81.33,81.38,-813.3,-2,815.3,0,0.5,O"
"Transaktionen,Data,Order,Aktien,USD,EDU,""2023-12-05, 11:38:53"",-10,75.66,76.07,756.6,-2,-815.3,-60.7,-4.1,C"
Transaktionen,SubTotal,,Aktien,USD,EDU,,0,,,-56.7,-4,0,-60.7,-3.6,
"Transaktionen,Data,Order,Aktien,USD,ENSG,""2024-01-18, 10:17:30"",10,115.09,116,-1150.9,-2,1152.9,0,9.1,O"
"Transaktionen,Data,Order,Aktien,USD,ENSG,""2024-03-01, 15:12:36"",-10,120.9,121.9,1209,-2,-1152.9,54.1,-10,C"
Transaktionen,SubTotal,,Aktien,USD,ENSG,,0,,,58.1,-4,0,54.1,-0.9,
"Transaktionen,Data,Order,Aktien,USD,ETN,""2024-04-03, 11:14:46"",6,321.245,320.94,-1927.47,-2,1929.47,0,-1.83,O"
"Transaktionen,Data,Order,Aktien,USD,ETN,""2024-04-03, 11:15:33"",6,321.225,320.94,-1927.35,-2,1929.35,0,-1.71,O"
"Transaktionen,Data,Order,Aktien,USD,ETN,""2024-04-04, 14:27:21"",-6,321.66,320.16,1929.96,-2,-1929.47,-1.51,9,C"
"Transaktionen,Data,Order,Aktien,USD,ETN,""2024-04-09, 10:34:42"",-6,314.894,313.87,1889.364,-2,-1929.35,-41.986,6.144,C"
Transaktionen,SubTotal,,Aktien,USD,ETN,,0,,,-35.496,-8,0,-43.496,11.604,
"Transaktionen,Data,Order,Aktien,USD,EXP,""2024-04-03, 11:32:15"",5,265.49,265.93,-1327.45,-2,1329.45,0,2.2,O"
"Transaktionen,Data,Order,Aktien,USD,EXP,""2024-04-09, 14:00:31"",-5,258.02,259.19,1290.1,-2,-1329.45,-41.35,-5.85,C"
Transaktionen,SubTotal,,Aktien,USD,EXP,,0,,,-37.35,-4,0,-41.35,-3.65,
"Transaktionen,Data,Order,Aktien,USD,FAST,""2024-01-24, 09:42:52"",20,69.04,68.84,-1380.8,-2,1382.8,0,-4,O"
"Transaktionen,Data,Order,Aktien,USD,FAST,""2024-04-02, 12:11:40"",-20,76.15,76.3,1523,-2,-1382.8,138.2,-3,C"
Transaktionen,SubTotal,,Aktien,USD,FAST,,0,,,142.2,-4,0,138.2,-7,
"Transaktionen,Data,Order,Aktien,USD,FTAI,""2024-02-07, 10:45:30"",22,55.2,53.83,-1214.4,-2,1216.4,0,-30.14,O"
"Transaktionen,Data,Order,Aktien,USD,FTAI,""2024-02-13, 09:30:03"",-22,52.56,52.97,1156.32,-2,-1216.4,-62.08,-9.02,C"
Transaktionen,SubTotal,,Aktien,USD,FTAI,,0,,,-58.08,-4,0,-62.08,-39.16,
"Transaktionen,Data,Order,Aktien,USD,GEO,""2023-11-30, 12:16:45"",80,10.42,10.15,-833.6,-2,835.6,0,-21.6,O;P"
"Transaktionen,Data,Order,Aktien,USD,GEO,""2024-01-03, 10:02:49"",4,10.715,10.76,-42.86,-2,44.86,0,0.18,O"
"Transaktionen,Data,Order,Aktien,USD,GEO,""2024-01-25, 15:47:48"",-84,11.21,11.28,941.64,-2,-880.46,59.18,-5.88,C"
Transaktionen,SubTotal,,Aktien,USD,GEO,,0,,,65.18,-6,0,59.18,-27.3,
"Transaktionen,Data,Order,Aktien,USD,GHC,""2024-01-31, 15:05:00"",2,728.34,720.4,-1456.68,-2,1458.68,0,-15.88,O"
"Transaktionen,Data,Order,Aktien,USD,GHC,""2024-02-05, 09:37:10"",-2,698,707.15,1396,-2,-1458.68,-64.68,-18.3,C"
Transaktionen,SubTotal,,Aktien,USD,GHC,,0,,,-60.68,-4,0,-64.68,-34.18,
"Transaktionen,Data,Order,Aktien,USD,GMS,""2024-03-01, 10:23:43"",25,91.15,90.57,-2278.75,-2,2280.75,0,-14.5,O"
"Transaktionen,Data,Order,Aktien,USD,GMS,""2024-03-07, 11:09:30"",-25,89.66,90.58,2241.5,-2,-2280.75,-41.25,-23,C"
Transaktionen,SubTotal,,Aktien,USD,GMS,,0,,,-37.25,-4,0,-41.25,-37.5,
"Transaktionen,Data,Order,Aktien,USD,GPOR,""2023-11-30, 12:17:10"",8,134.825,137.04,-1078.6,-2,1080.6,0,17.72,O"
"Transaktionen,Data,Order,Aktien,USD,GPOR,""2024-01-08, 09:30:03"",-8,123.24125,125.86,985.93,-2,-1080.6,-96.67,-20.95,C;P"
Transaktionen,SubTotal,,Aktien,USD,GPOR,,0,,,-92.67,-4,0,-96.67,-3.23,
"Transaktionen,Data,Order,Aktien,USD,GWW,""2024-01-18, 10:48:25"",1,873.74,872.2,-873.74,-2,875.74,0,-1.54,O"
"Transaktionen,Data,Order,Aktien,USD,GWW,""2024-01-25, 11:33:35"",1,880.4,881.45,-880.4,-2,882.4,0,1.05,O"
"Transaktionen,Data,Order,Aktien,USD,GWW,""2024-03-11, 09:46:26"",-2,961.75,963.99,1923.5,-2,-1758.14,163.36,-4.48,C"
Transaktionen,SubTotal,,Aktien,USD,GWW,,0,,,169.36,-6,0,163.36,-4.97,
"Transaktionen,Data,Order,Aktien,USD,HCA,""2024-03-07, 10:12:33"",4,327.28,324.66,-1309.12,-2,1311.12,0,-10.48,O"
"Transaktionen,Data,Order,Aktien,USD,HCA,""2024-04-04, 15:42:51"",-4,324.75,325.17,1299,-2,-1311.12,-14.12,-1.68,C"
Transaktionen,SubTotal,,Aktien,USD,HCA,,0,,,-10.12,-4,0,-14.12,-12.16,
"Transaktionen,Data,Order,Aktien,USD,HCC,""2024-01-18, 10:35:11"",18,66.3,67.46,-1193.4,-2,1195.4,0,20.88,O"
"Transaktionen,Data,Order,Aktien,USD,HCC,""2024-02-05, 09:54:37"",-18,61.75,60.93,1111.5,-2,-1195.4,-85.9,14.76,C"
Transaktionen,SubTotal,,Aktien,USD,HCC,,0,,,-81.9,-4,0,-85.9,35.64,
"Transaktionen,Data,Order,Aktien,USD,HIG,""2024-02-07, 10:42:21"",20,89.88,89.85,-1797.6,-2,1799.6,0,-0.6,O"
"Transaktionen,Data,Order,Aktien,USD,HIG,""2024-04-09, 10:38:43"",-20,100.35,98.87,2007,-2,-1799.6,205.4,29.6,C"
Transaktionen,SubTotal,,Aktien,USD,HIG,,0,,,209.4,-4,0,205.4,29,
"Transaktionen,Data,Order,Aktien,USD,HLT,""2024-03-26, 12:57:42"",8,213.125,213.04,-1705,-2,1707,0,-0.68,O"
"Transaktionen,Data,Order,Aktien,USD,HLT,""2024-04-04, 14:44:37"",-8,210.11,208.79,1680.88,-2,-1707,-28.12,10.56,C"
Transaktionen,SubTotal,,Aktien,USD,HLT,,0,,,-24.12,-4,0,-28.12,9.88,
"Transaktionen,Data,Order,Aktien,USD,HMN,""2023-12-12, 11:41:26"",30,33.59,33.45,-1007.7,-2,1009.7,0,-4.2,O"
"Transaktionen,Data,Order,Aktien,USD,HMN,""2023-12-21, 11:00:36"",-30,32.185,32.53,965.55,-2,-1009.7,-46.15,-10.35,C"
Transaktionen,SubTotal,,Aktien,USD,HMN,,0,,,-42.15,-4,0,-46.15,-14.55,
"Transaktionen,Data,Order,Aktien,USD,HNI,""2023-11-30, 12:18:05"",38,38.915,39.07,-1478.77,-2,1480.77,0,5.89,O"
"Transaktionen,Data,Order,Aktien,USD,HNI,""2024-02-05, 09:35:29"",-38,40.3,40.51,1531.4,-2,-1480.77,48.63,-7.98,C"
Transaktionen,SubTotal,,Aktien,USD,HNI,,0,,,52.63,-4,0,48.63,-2.09,
"Transaktionen,Data,Order,Aktien,USD,HOLI,""2023-11-30, 12:36:39"",52,22.837115385,22.8,-1187.53,-2,1189.53,0,-1.93,O;P"
"Transaktionen,Data,Order,Aktien,USD,HOLI,""2024-01-31, 09:57:14"",-52,24.7038,24.74,1284.5976,-2,-1189.53,93.067601,-1.8824,C"
Transaktionen,SubTotal,,Aktien,USD,HOLI,,0,,,97.0676,-4,0,93.067601,-3.8124,
"Transaktionen,Data,Order,Aktien,USD,HRB,""2023-11-30, 12:17:00"",28,45.946785714,45.42,-1286.51,-2,1288.51,0,-14.75,O;P"
"Transaktionen,Data,Order,Aktien,USD,HRB,""2024-01-18, 09:41:57"",-28,45.59,45.62,1276.52,-2,-1288.51,-13.990001,-0.84,C"
Transaktionen,SubTotal,,Aktien,USD,HRB,,0,,,-9.99,-4,0,-13.990001,-15.59,
"Transaktionen,Data,Order,Aktien,USD,HWM,""2024-04-03, 11:29:03"",20,66.24,66,-1324.8,-2,1326.8,0,-4.8,O"
"Transaktionen,Data,Order,Aktien,USD,HWM,""2024-04-10, 09:30:04"",-20,65.06,65.25,1301.2,-2,-1326.8,-27.6,-3.8,C"
Transaktionen,SubTotal,,Aktien,USD,HWM,,0,,,-23.6,-4,0,-27.6,-8.6,
"Transaktionen,Data,Order,Aktien,USD,IBP,""2024-03-26, 12:40:15"",6,256.52,255.34,-1539.12,-2,1541.12,0,-7.08,O"
"Transaktionen,Data,Order,Aktien,USD,IBP,""2024-04-09, 10:05:38"",-6,250.21,254.36,1501.26,-2,-1541.12,-41.86,-24.9,C"
Transaktionen,SubTotal,,Aktien,USD,IBP,,0,,,-37.86,-4,0,-41.86,-31.98,
"Transaktionen,Data,Order,Aktien,USD,IONS,""2023-11-30, 12:16:45"",19,49.365,49.47,-937.935,-2,939.935,0,1.995,O;P"
"Transaktionen,Data,Order,Aktien,USD,IONS,""2024-01-23, 10:42:35"",-19,50.24,51.81,954.56,-2,-939.935,12.625,-29.83,C"
Transaktionen,SubTotal,,Aktien,USD,IONS,,0,,,16.625,-4,0,12.625,-27.835,
"Transaktionen,Data,Order,Aktien,USD,IR,""2024-03-26, 12:39:27"",33,94.93,94.45,-3132.69,-2,3134.69,0,-15.84,O"
"Transaktionen,Data,Order,Aktien,USD,IR,""2024-04-02, 09:35:36"",-33,93.14,92.55,3073.62,-2,-3134.69,-63.07,19.47,C"
Transaktionen,SubTotal,,Aktien,USD,IR,,0,,,-59.07,-4,0,-63.07,3.63,
"Transaktionen,Data,Order,Aktien,USD,ITT,""2024-01-31, 15:02:45"",15,121.28,120.78,-1819.2,-2,1821.2,0,-7.5,O"
"Transaktionen,Data,Order,Aktien,USD,ITT,""2024-02-13, 15:14:03"",-15,119.05,119.62,1785.75,-2,-1821.2,-37.45,-8.55,C;P"
Transaktionen,SubTotal,,Aktien,USD,ITT,,0,,,-33.45,-4,0,-37.45,-16.05,
"Transaktionen,Data,Order,Aktien,USD,JPM,""2024-03-25, 09:48:30"",18,195.31,194.82,-3515.58,-2,3517.58,0,-8.82,O"
"Transaktionen,Data,Order,Aktien,USD,JPM,""2024-04-03, 15:15:12"",-18,197.78,198.3,3560.04,-2,-3517.58,40.46,-9.36,C;P"
Transaktionen,SubTotal,,Aktien,USD,JPM,,0,,,44.46,-4,0,40.46,-18.18,
"Transaktionen,Data,Order,Aktien,USD,LLY,""2024-02-06, 10:06:39"",2,715,705.03,-1430,-2,1432,0,-19.94,O"
"Transaktionen,Data,Order,Aktien,USD,LLY,""2024-03-08, 09:53:02"",-2,760.56,762.14,1521.12,-2,-1432,87.12,-3.16,C"
Transaktionen,SubTotal,,Aktien,USD,LLY,,0,,,91.12,-4,0,87.12,-23.1,
"Transaktionen,Data,Order,Aktien,USD,LRN,""2023-11-30, 12:19:43"",22,60.363636364,60.58,-1328,-2,1330,0,4.76,O;P"
"Transaktionen,Data,Order,Aktien,USD,LRN,""2024-01-03, 10:02:51"",4,60.865,60.45,-243.46,-2,245.46,0,-1.66,O;P"
