Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,Data,Order,Aktien,USD,NTNX,"2024-02-29, 10:26:01",30,61.54,63.16,-1846.2,-2,1848.2,0,48.6,O
Transaktionen,Data,Order,Aktien,USD,NTNX,"2024-03-11, 10:38:28",-30,63.36,63.36,1900.8,-2,-1848.2,50.6,0,C
Transaktionen,SubTotal,,Aktien,USD,NTNX,,-27,,,1499.1,-6,-1156.25,336.85,-5.94,
Transaktionen,Data,Order,Aktien,USD,PANW,"2024-02-23, 12:45:20",7,280.65,282.09,-1964.55,-2,1966.55,0,10.08,O
Transaktionen,Data,Order,Aktien,USD,PANW,"2024-03-01, 09:45:35",-7,301.6,302.4,2111.2,-2,-1966.55,142.65,-5.6,C
Transaktionen,SubTotal,,Aktien,USD,PANW,,0,,,146.65,-4,0,142.65,4.48,
Transaktionen,Data,Order,Aktien,USD,PGTI,"2024-01-31, 15:07:25",44,41.12,41.22,-1809.28,-2,1811.28,0,4.4,O;P
Transaktionen,Data,Order,Aktien,USD,PGTI,"2024-02-20, 09:30:11",-44,41.342272727,41.43,1819.06,-2,-1811.28,5.78,-3.86,C;P
Transaktionen,SubTotal,,Aktien,USD,PGTI,,0,,,9.78,-4,0,5.78,0.54,
Transaktionen,Data,Order,Aktien,USD,PRIM,"2024-05-14, 13:01:53",100,49.17,49.56,-4917,-2,4919,0,39,O
Transaktionen,Data,Order,Aktien,USD,PRIM,"2024-05-23, 14:02:40",-100,52.94,53.23,5294,-2,-4919,373,-29,C
Transaktionen,Data,Order,Aktien,USD,PRIM,"2024-06-04, 11:04:34",30,53.29,53.04,-1598.7,-2,1600.7,0,-7.5,O
Transaktionen,Data,Order,Aktien,USD,PRIM,"2024-06-07, 11:01:26",-30,51.74,52.38,1552.2,-2,-1600.7,-50.5,-19.2,C
Transaktionen,SubTotal,,Aktien,USD,PRIM,,0,,,330.5,-8,0,322.5,-16.7,
Transaktionen,Data,Order,Aktien,USD,PRMW,"2024-06-04, 09:39:27",65,22.79,22.78,-1481.35,-2,1483.35,0,-0.65,O
Transaktionen,SubTotal,,Aktien,USD,PRMW,,65,,,-1481.35,-2,1483.35,0,-0.65,
Transaktionen,Data,Order,Aktien,USD,PTGX,"2024-03-01, 10:27:55",25,31.91,32.15,-797.75,-2,799.75,0,6,O
